1	N	48
1	J	48
0	J	48
1	R	48
2	N	48
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
4	J	1853
4	R	1853
4	W	1853
0	R	1853
4	J	2023
4	R	2023
4	W	2023
0	R	2023
4	J	2048
4	R	2048
4	W	2048
0	R	2048
4	J	2190
4	R	2190
4	W	2190
0	R	2191
4	J	2205
4	R	2205
4	W	2205
0	R	2205
4	J	2354
4	R	2354
4	W	2354
0	R	2354
4	J	2388
4	R	2388
4	W	2388
0	R	2388
4	J	2623
4	R	2623
4	W	2623
0	R	2623
4	J	2623
4	R	2623
4	W	2623
0	R	2624
4	J	2777
4	R	2777
4	W	2778
0	R	2778
4	J	2885
4	R	2885
4	W	2886
0	R	2886
3	J	3066
3	R	3066
3	W	3066
0	R	3066
4	J	3072
4	R	3072
4	W	3072
0	R	3072
4	J	3502
4	R	3502
6	N	3504
6	J	3505
4	W	3505
6	R	3505
6	E	3506
4	J	3506
4	R	3506
7	N	3506
7	J	3507
4	J	3507
7	R	3507
7	E	3510
4	R	3510
4	W	3510
0	R	3510
4	J	3667
4	R	3667
4	W	3667
0	R	3667
4	J	5176
4	R	5176
4	W	5176
0	R	5176
4	J	5400
4	R	5400
4	W	5400
0	R	5400
4	J	5455
4	R	5455
4	W	5455
0	R	5455
4	J	5654
4	R	5654
4	W	5654
0	R	5654
4	J	5754
4	R	5754
4	W	5755
0	R	5755
4	J	5918
4	R	5918
4	W	5918
0	R	5918
4	J	6806
4	R	6806
4	W	6807
0	R	6807
4	J	6965
4	R	6965
4	W	6965
0	R	6965
4	J	7090
4	R	7090
4	W	7090
0	R	7090
4	J	7118
4	R	7118
4	W	7118
0	R	7118
4	J	7255
4	R	7255
4	W	7255
0	R	7255
4	J	7349
4	R	7349
4	W	7349
0	R	7349
4	J	7443
4	R	7443
4	W	7443
0	R	7443
4	J	7613
4	R	7613
4	W	7613
0	R	7613
4	J	7637
4	R	7637
8	N	7638
8	J	7638
4	W	7639
8	R	7639
9	N	7640
9	J	7641
10	N	7641
10	J	7641
11	N	7642
11	J	7642
12	N	7642
12	J	7643
13	N	7643
13	J	7643
14	N	7644
14	J	7644
15	N	7644
15	J	7645
16	N	7645
16	J	7645
17	N	7645
17	J	7646
18	N	7646
18	J	7647
8	W	7648
18	R	7648
18	J	7663
17	R	7663
17	J	7678
16	R	7678
16	J	7693
15	R	7693
15	J	7708
14	R	7708
14	J	7723
13	R	7723
13	J	7738
12	R	7738
12	J	7753
11	R	7753
11	J	7768
10	R	7768
10	J	7783
9	R	7783
9	W	7783
18	R	7783
18	J	7798
17	R	7798
17	J	7813
16	R	7813
16	J	7828
15	R	7828
15	J	7843
14	R	7843
14	J	7858
13	R	7858
13	J	7873
12	R	7873
9	J	7888
12	J	7888
9	R	7888
9	W	7888
11	R	7888
11	J	7903
10	R	7903
10	J	7918
18	R	7918
18	J	7933
17	R	7933
17	J	7948
16	R	7948
16	J	7963
15	R	7963
15	J	7978
14	R	7978
9	J	7993
14	J	7993
9	R	7993
9	W	7993
13	R	7993
13	J	8008
12	R	8008
12	J	8023
11	R	8023
11	J	8038
10	R	8038
10	J	8053
18	R	8053
18	J	8068
17	R	8068
17	J	8083
16	R	8083
9	J	8098
16	J	8098
9	R	8098
9	W	8098
15	R	8098
15	J	8113
14	R	8113
14	J	8128
13	R	8128
13	J	8143
12	R	8143
12	J	8158
11	R	8158
11	J	8173
10	R	8173
10	J	8188
18	R	8188
9	J	8203
18	J	8203
9	R	8203
9	W	8203
17	R	8203
17	J	8218
16	R	8218
